17	31 27 5 28 32 41 38 29 1 15 17	while he was at berkeley as a packard fellow , lange met another packard fellow , frances arnold , a chemical engineer , who had attended princeton and berkeley when he did , but whom he had never met before then .	lange	10	princeton	26	Q95710	Q1020218
17	39 14 37 2 13 34 31 11 15 12 17	later saturday , andrew seliber , a friend of knox and a fellow student at the university of washington , also took the stand , called by the american 's lawyers .	knox	9	university of washington	16 17 18	Q355680	Q219563
17	27 1 36 24 10 38 41 31 25 4 17	but by cementing her relationship with mailer in book form , mallory -- a runner-up to a beauty queen in high school and again at penn state before becoming a no	mailer	6	penn state	25 26	HHH	TTT
17	34 4 22 5 8 26 11 2 12 17 17	lange was part of one of them , the maxima experiment , which was led by his former professor paul richards of the university of california , berkeley .	his	16	university of california	23 24 25	Q192711	Q184478
17	12 5 38 40 35 15 36 33 9 31 17	piedra testified he struggled to get his career going after graduating in 1998 from tufts university school of dental medicine .	piedra	0	tufts university school of dental medicine	14 15 16 17 18 19	HHH	TTT
17	13 22 26 18 10 21 4 33 5 39 17	he graduated from muhlenberg college in allentown , pa , and received a phd in pharmacology from temple university .	he	0	temple university	17 18	HHH	TTT
17	10 20 1 29 41 13 31 27 7 3 17	he attended princeton university and then the university of california , berkeley , where he received a ph.d. in 1987 and was promptly hired as a professor .	he	0	university of california	7 8 9	HHH	TTT
17	13 2 9 32 33 29 39 7 4 41 17	kercher , like knox an exchange student at perugia 's prestigious university for foreigners , was found dead in her blood-drenched bedroom , semi-nude with multiple stab wounds to the neck .	knox	3	university for foreigners	11 12 13	HHH	TTT
17	13 14 33 15 21 23 36 40 2 37 17	he graduated from princeton university in 1980 , received a phd from the university of california , berkeley , in 1987 , and was a visiting associate at caltech in 1993-94 .	he	0	princeton university	3 4	HHH	TTT
17	11 14 4 15 18 21 31 41 10 12 17	he was forced to close his bar and now works occasionally at the university of foreigners which knox and kercher attended , lawyer carlo pacelli told afp .	knox	17	university of foreigners	13 14 15	HHH	TTT
18	32 31 10 36 20 9 29 35 39 25 18	coroner peter dean opened the long-delayed inquest into the death of terry jupp almost eight years after he died on a remote island off england 's east coast used as a military facility .	terry jupp	11 12	england	24	HHH	TTT
18	34 37 16 41 30 39 33 7 24 15 18	china earlier this month executed wen qiang , a former top chongqing police and justice official at the centre of the scandal .	wen qiang	5 6	china	0	HHH	TTT
